35.6130374 , 139.7369531 , 1
35.6130374 , 139.7369531 , 1
35.6130374 , 139.7369531 , 1
35.6130374 , 119.7369531 , 1
 ,  , 1
3454546 , 2157856 , 1
3454546 , 2157856 , 1
 ,  , 1
35.6130374 , 119.7369531 , 1
3454546 , 119.7369531 , 1
35.6130374 , 139.7369531 , 1
4234 , 53 , 2
35.6130374 , 139.7369531 , 9
35.6130374 , 139.7369531 , 9
35.6130374 , 139.7369531 , 9
35.6130374 , 139.7369531 , 9
35.6130374 , 139.7369531 , 9
 ,  , 
35.6130374 , 139.7369531 , 1
35.6130374 , 139.7369531 , 1
3454546 , 139.7369531 , 2
35.6130374 , 139.7369531 , 1
